s.no,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
1,718.4586667,22256928,56812,7724107,238700,151438,1044,112229070,2133614,5,11,62,55,0.49298,8.069,0.067591,7708,42.77,43.09,13.663,5.25,1.58,1.679,446172630,20.58,2.8135,0.1996,36.223,54.17,16.46,105.71,36.13,46.36,71.83,5420048,475559,0.3766,45.77
2,25.52113734,4239408,105695,5844288,188902,264008,113582,284597324,1719318,38,14,59,61,0.07811,9.328,0.046174,6693,42.84,44.26,9.632,1.87,0.806,1.654,856199835,26.53,2.3588,0.2939,43.028,65.79,15.64,111.79,43.31,47.58,67.9,12155631,371540,0.2515,35.02
3,268.2880438,6708500,87686,13008485,19704,150505,38501,807781054,1569740,9,33,51,33,0.94863,9.553,0.026979,2699,42.95,48.33,14.728,5.64,3.026,1.62,503553502,14.92,2.8399,0.31483,42.031,45.08,23.91,110.15,38.26,49.26,72.7,11939870,225984,0.3679,46.22
4,209.0715992,36835247,70791,2520814,200111,253458,53719,667441334,922723,9,43,56,51,0.70916,7.838,0.106558,4898,43.53,59.1,0.465,2.86,1.006,1.62,463383476,28.92,2.7889,0.07673,41.377,75.24,13.06,116.74,39.37,44.21,73.01,7045541,551342,0.0504,38.1
5,3482.169185,23693467,75610,9276779,65532,278877,95178,74045467,1834970,26,22,48,54,0.96547,8.085,0.129135,8678,43.83,48.5,9.217,4.28,3.681,1.434,692252839,36.12,2.8071,0.36388,38.153,56.85,40.72,115.18,36.85,45.46,75.84,11488805,254143,0.2219,39.16
6,55.18108305,13925382,114740,2733356,264751,112292,145635,88407557,2864910,6,8,97,44,0.26209,9.656,0.108366,6744,43.99,47.69,5.188,2.01,1.378,1.522,600602056,37.32,2.3619,0.05749,43.675,50.8,17.91,118.39,35.87,42.9,66.35,7909917,307429,0.1996,39.26
7,6.854792089,9003238,114781,11897392,414701,213302,54295,316514082,2853594,21,20,70,32,0.2204,9.643,0.044637,1222,43.17,55.82,15.098,4.42,2.287,1.453,266254210,20.22,2.6394,0.02093,43.779,67.91,31.75,100.26,44.44,47.6,71.55,7180314,296980,0.3468,47.41
8,869.3223659,28305816,75470,6150648,40533,339485,19815,453112852,2329062,11,23,81,71,0.59877,9.704,0.022083,730,43.41,51.26,12.974,4.05,1.865,1.515,665589786,14.12,2.6654,0.41559,35.646,41.72,33.28,94.88,40.16,43.18,64.63,8728474,461644,0.2774,32.7
9,174.6599391,22598871,43627,2999952,135596,258361,135905,186908043,3623189,46,16,57,42,0.99952,7.555,0.069438,6450,42.61,50.55,11.7,5.6,0.455,1.484,250891370,29.24,2.4587,0.08375,35.986,22.82,40.47,117.87,33.32,44.37,70.3,6935592,665667,0.0576,45.33
10,78.81773753,11229177,100429,77322,280313,120282,145128,102682291,2891045,44,21,74,67,0.1699,7.86,0.100378,7319,43.46,59.06,10.38,3.66,1.468,1.42,531204665,40.67,2.4468,0.14086,38.411,55.21,32.35,105.83,32.59,44.74,70.77,6714876,692330,0.1257,45.14
